Feature,Importance
hr_17,0.114805184
hr_4,0.09384739
hr_3,0.08718789
hr_18,0.08294485
hr_5,0.07947832
hr_8,0.077472225
hr_2,0.06962001
hr_1,0.05884998
hr_19,0.039943505
workingday,0.029808478
hr_23,0.027728984
hr_16,0.026788285
hr_6,0.021950997
comfort_index,0.021699911
yr,0.015111037
hr_7,0.014540093
hr_12,0.013623868
season_Winter,0.011140393
hr_20,0.010502106
hr_9,0.010404472
hr_13,0.009298379
season_Spring,0.009202356
temp,0.007702158
weathersit_3,0.0065965904
hr_15,0.005976074
hum,0.0053360006
hr_11,0.0052079204
hr_14,0.0051793978
hr_22,0.00509682
mnth_10,0.0028368386
mnth_9,0.0027483564
hr_10,0.0026802374
atemp,0.0024717385
weekday_Saturday,0.002037923
hr_21,0.0018178303
mnth_12,0.0016631051
holiday,0.0016325495
mnth_8,0.001382128
weekday_Thursday,0.0012995269
weekday_Sunday,0.0012857997
mnth_4,0.0011898985
weekday_Monday,0.0011495765
weekday_Wednesday,0.0010636741
windspeed,0.000938811
weekday_Tuesday,0.000924648
mnth_3,0.00081988575
weathersit_2,0.00072104164
temp_wind_interaction,0.00071357767
mnth_5,0.00065375847
season_Summer,0.0006528828
mnth_6,0.00060682127
mnth_7,0.0006009941
mnth_11,0.0005899857
mnth_2,0.00047473534
weathersit_4,0.0
